Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
42,2,304.33388902813215,182919.09762332635,427.6904226462481,0.5155212719210038,132.1679803510881,-0.020921514223167945
145,1,382.7534138129472,247106.74002409342,497.0983202788895,0.589114358357802,252.23391468389323,-0.006892882596544086
150,1,235.97094085453068,113402.54201304982,336.75293913052906,0.42172859061352963,122.95837151275268,-0.022751365074428875
25B,1,265.41511150935855,132888.31777655528,364.5384997178697,0.6078806614281118,120.06901236512152,-0.01287008731275892
220,2,314.4778079710145,194881.66152909872,441.4540310486458,0.5148304131449851,124.96512291778613,-0.007547793626062269
79,1,199.12038500346827,87755.11692617343,296.2349016003574,0.5181984244178888,92.26420540068428,-0.0120739185467136
29A,1,221.37208022594862,97129.46105699253,311.65599794804615,0.5784885395342154,105.05838436590422,-0.008433160240326592
45A,2,314.4403913874672,212815.3907565394,461.3191853332564,0.5920597835666065,115.28868200885479,-0.0064154654376322616
15D,1,357.0703125,222995.11977539063,472.22359087130604,0.3083623728005159,109.70329958100558,-0.012862977924475511
84X,2,411.1638826079675,280787.2790672719,529.8936488270754,0.461278817283164,193.54385307853377,-0.04533957170368851
15,1,611.9249802175639,630565.9235470667,794.0818116208599,0.3178769920621375,390.81444634198175,-0.0183428605980164
31D,1,275.0674342105263,130063.75734991777,360.64353224467754,0.05993986157276798,81.08974847560975,-0.08922534569145824
41X,2,314.01083458280726,180106.11972610073,424.38911358103985,0.2349908389893942,183.4813749772424,-0.024689830026681226
77A,1,386.0847657633702,259543.4100481163,509.45403133954716,0.6870701527613472,199.70163191497693,-0.010463493828295159
76,2,232.97814743549984,110243.44930022,332.0292898227805,0.5894685576970073,103.10333111095977,-0.020137039194720176
63,2,318.9426720282269,227430.83572280078,476.89709133396985,0.21546769637749474,115.64132487795344,-0.03868545031213006
220,1,306.6527027027027,183471.79045608107,428.3360718595634,0.5533729955177427,116.43177020506634,-0.0036285668624924205
79,2,237.98492923242588,107954.74942030331,328.5646807255815,0.4630799700546525,107.62419260238362,-0.018156542221499157
29A,2,234.1397622496145,99136.46706387466,314.85944016953766,0.5958508604197287,112.16327715146315,-0.017707355347288938
45A,1,237.90533144769526,110005.05035201863,331.67009264029014,0.692007069750422,91.3301556202782,-0.002407016566239467
15D,2,516.3605769230769,556646.3003305289,746.0873275498847,-0.2942068509946323,150.6196581196581,-0.029420893475445763
84X,1,525.7565,456750.9236815755,675.8335029292167,0.1591131232048938,190.67934114496614,0.0005267331016615457
15,2,524.0363060669295,479578.99706322234,692.5164236776066,0.326934614539784,327.9352557926629,-0.01207077683945917
31D,2,332.5805921052632,173839.7941509046,416.9409960065148,0.16408888541816136,123.52221385542168,0.009199823560077536
41X,1,430.6612574404762,491876.1175852716,701.3388037070754,-0.8970232281323485,159.63175886015324,-0.05740065051843514
77A,2,392.3067310997777,260853.35666925565,510.73805093144927,0.6198169338110138,193.46502818302653,-0.007174252906045609
76,1,337.84121244666323,214706.98623735172,463.36485218168167,0.5754159441580395,156.74576911171584,-0.02038584621652296
63,1,283.8103437362801,156672.59273759308,395.8188888084967,0.3559286203451939,116.71928816302699,-0.01696770422097345
13,1,466.8693846004208,423671.44756880275,650.9004897592279,0.40267502397081756,208.386516183085,-0.0008843459270894136
31B,1,231.78351449275362,103970.27870244565,322.4442257235283,0.22217131422512615,117.68004032258065,-0.010401918633769004
114,2,202.9921805847339,79096.60172496305,281.2411807061033,0.5680127039527201,79.1929864103592,-0.03353428254200364
14,2,385.8702911584251,272580.7929454489,522.0927053172155,0.5658686620248712,210.15475954858022,-0.0044076415978441235
66A,1,318.03250838926175,183958.8745805369,428.9042720474312,0.482163466387328,128.94309161374673,-0.022082140347833946
27B,2,143.23433457492922,46209.29569815684,214.96347526535024,0.68729086262012,103.62119379916909,-0.0055185370312022305
70,2,432.0693620135673,377559.2291437529,614.4584844753573,0.5305285865176247,189.35928447217924,-0.007859832149597979
65,2,702.6494222689075,919601.9848920037,958.9588024998799,0.4404113881677416,276.0883323598131,-0.04699002845103358
25X,1,387.98674242424244,279535.318359375,528.7109970100631,0.39572086994671896,142.12651384083046,-0.010084893575161659
44B,2,168.50113636363636,61266.55284090909,247.52081294490992,0.3516756213055845,72.70002543234995,-0.010571542557161919
15B,1,433.5879255308039,347022.21414912323,589.0859140644285,0.3867942972223727,223.69918094220668,-0.035398991570042386
33X,2,210.8085140306122,74717.65081305619,273.3452959409695,0.6074601629315677,115.89592781557077,-0.045005497631098644
54A,2,374.0566986012969,250091.8200291941,500.0918115998242,0.4295363096197059,149.1501333549628,-0.019722935610252318
38A,1,416.99607369419476,354863.64297323115,595.7043251255031,0.5159885794683854,175.44824204520617,-0.004387304403017739
13,2,444.5105784601319,356897.4779925458,597.408970465414,0.5043605887973899,216.34751231214582,-0.005442055404469373
31B,2,277.966222492785,125460.05046588641,354.2034026740658,0.49242080333980265,127.80667079845355,-0.035439778973352265
14,1,413.5363196840225,319441.90385186824,565.1919177163348,0.572107618309613,226.15225888122657,-0.009105055529594815
114,1,197.77047421034948,71499.13456243808,267.3932208610347,0.628571431263446,77.42450500165344,-0.02714879011569004
66A,2,292.00940476190476,228747.83936893247,478.275902977489,0.3916343324968845,126.8357252823253,-0.02381644223268135
27B,1,270.6702827388898,135689.26680976333,368.3602405387467,0.3930911598500437,131.1509831870583,-0.011661632961411301
70,1,427.1481931663928,306719.11851734,553.8222806255992,0.6109461278360117,179.1765616047471,-0.01699761576824364
65,1,362.4090524755928,378979.16715706815,615.6128386876512,0.6726154715125066,131.34491671522923,-0.0013228271994310903
25X,2,206.83958333333334,56533.1642578125,237.76703778659586,0.26002506393310587,122.3576923076923,0.002085995840186919
44B,1,161.07596982758622,43254.8693595097,207.97805018681586,0.40064912692202637,75.64490004816956,-0.0353814526699466
15B,2,318.3670379212207,188496.0518458107,434.16132007102004,0.7300734622310794,161.9898344163588,-0.013309216949973945
33X,1,224.498579308815,84561.52239813785,290.7946395622482,0.4842504218239312,117.01751557112159,-0.01928081489792758
54A,1,282.6024591440519,195923.88271387568,442.6328983637295,0.5254104311116163,118.75816123811806,-0.04548642983789642
38A,2,517.3832290049171,470515.20027582045,685.9411055446527,0.425294338103828,203.47589402674615,-0.02143334717376849
67,1,327.66092397435693,199723.39345837684,446.9042329832834,0.6553357254519226,128.01816949591537,-0.010331488041714769
239,1,351.2780944625407,269493.5294750102,519.1276620206346,0.4581940850495415,127.93131345177665,-0.031129913404374494
51X,2,355.1203125,187071.21108398438,432.5172957050208,-0.0678629661831609,139.45595760233917,-0.019213543928377572
75,2,361.58341259902454,286250.7102195537,535.0240277030123,0.6365840282090713,167.3485255910801,-0.0037393733023049595
116,1,459.4735576923077,251577.1153094952,501.57463583149337,-0.12252606936997212,152.55815972222223,-0.06257704142441502
16,1,471.292329053409,386503.8704660083,621.694354539277,0.5808743129377069,267.67623585551496,-0.0031241381659887556
70D,2,427.2048611111111,258926.28678385416,508.847999685421,-0.36805369337403127,79.78472222222223,-0.024697982134293243
111,2,389.6707317073171,239748.4908468532,489.64118581554516,0.13396521545832085,146.0074057886558,-0.03157555780097828
