Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
151,2,282.98480194910286,143897.43604583517,379.3381552728847,0.6366305806817141,272.69280332837144,-0.006679161303266436
44,2,378.8690731953123,278140.6932323074,527.3904561445034,0.7193419643931075,345.4416941194554,-0.003889818045400143
43,1,273.3685437417022,155928.29010811436,394.87756343975076,0.57790798262639,258.3937265730651,0.0011854374387404993
25D,1,235.683029966846,99625.35504780676,315.63484447666224,0.36628646917205465,273.68090047046775,-0.002998720239687152
67X,1,436.99204309649093,293929.4485600425,542.1526063388817,0.25150507581483017,423.21363186010205,-0.0004808801996145262
59,2,121.13450450366678,30148.750206871966,173.6339546484845,0.516913128029772,122.48144506798847,-0.006422755770354571
41B,2,301.99712738496044,189397.72115869407,435.1984847844648,0.4456525321436594,297.7411160363821,-0.00601269125692712
7D,2,365.7145242299136,247168.67568658115,497.1606135712896,-0.04988492570307734,325.6461089925877,-0.02598372829752465
41C,2,312.65495661247814,170366.03947287032,412.7542119383766,0.5795057731371018,303.9157842464348,-0.008548180927008354
27X,1,220.05465004075663,97693.26037767198,312.55921099476814,0.33466565009531,131.31541527826673,-0.01985260031053455
41D,1,3.4895227237466315,12.17676883954411,3.4895227237466315,nan,1391.1009244752652,-0.0009161256822648022
270,1,197.68320228924514,90931.77288695902,301.5489560369245,0.4447894951052028,194.5946622376205,-0.012388202357786017
7B,1,272.6327409638432,114000.29988533308,337.63930441424185,0.11796192286732865,294.43538566132344,-0.024159526005820654
56A,2,247.4546283708238,119657.33491268159,345.9152134738823,0.7481463701986215,252.2385812953297,-0.011106858076247651
26,1,223.652506299826,92002.74110685413,303.3195363092429,0.5936188612595492,201.894422936467,-0.0011907750330640632
33,1,745.3107467999157,1069094.4448275683,1033.9702340142912,0.3650425423294973,692.4924068515396,-0.016210629077535392
4,2,373.62361747320864,223166.39745735124,472.40490837559173,0.6465626278576009,357.7918367878405,-0.009242167106751598
33B,1,165.79814887884618,60381.52196372524,245.72651864160946,0.2403212648122468,155.3652602809748,0.009739789514325713
42,1,275.58056097932564,145494.26812423317,381.43710900256303,0.5882159690343931,243.0162260410434,-0.010536479479891727
142,1,419.2629784316823,250075.41953152532,500.0754138442774,-0.4679750374603784,180.94895445396116,0.06872417122198511
25B,2,288.7880329737681,168380.0806896893,410.3414196613465,0.686442491183886,268.50088010209157,0.00346072841569599
145,2,451.41406461253337,333071.682694164,577.123628604967,0.6342111232044635,458.7882927764413,-0.024432013022541263
150,2,239.54934296533966,111357.00587750252,333.701971641617,0.4595997778706602,226.25233401750322,-0.022745463902145113
27X,2,362.76108144930794,211501.30898848973,459.89271465037336,0.31641126221714866,340.4890399593115,0.004173276815891182
41C,1,337.8009898279196,227927.92543323932,477.41797770218005,0.571410351045945,317.0031578176202,-0.001332010584303483
41D,2,126.12615101083793,15907.805968808694,126.12615101083793,nan,1.6263270758387876,-0.048066368525471775
270,2,203.95676227593844,78883.3210429748,280.86174720487446,0.12355798821930897,189.8630433785131,-0.01664567183875201
