Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MPE
7A,1,505.5216465578424,427092.5533475278,653.5231850114637,0.32378078102079644,0.0066520594172871424
46A,2,1027.5923842492427,1380182.7485936824,1174.8117928390413,-0.5839445260910119,nan
38,1,538.6114071726919,514993.24629122857,717.630299173069,0.28237356092500476,0.029334364906102126
16C,2,301.6372549019608,150077.73529411765,387.3986774553027,0.1331418130654458,-0.01469143139168796
51D,1,311.0403587443946,146564.466367713,382.8373889364948,-0.8513501141666748,0.016776452665609565
40E,2,299.6214876033058,173516.8909090909,416.55358707985084,-0.23969942695033186,0.04165496188874632
40B,1,477.41955445544556,371816.96287128713,609.7679582195896,-1.165739449853513,0.08479034181363157
49,1,382.42171385711606,303185.50121882616,550.6228302738873,0.4355070173906983,-0.027229368990016028
66X,2,666.4295532646048,676673.3883161512,822.6015975647939,-0.569396695611706,0.03007037854648606
41,2,434.4069302230962,349047.2774801655,590.8022321218543,0.2060467303075133,0.023612135852807886
25A,1,380.16360867358037,259031.48350134166,508.9513567143147,0.3305742431269394,0.01209673622116772
53,1,518.8444639718805,802046.3793204452,895.5704211955893,-0.22535699628256545,0.03702079868651936
83A,1,496.3380722206426,433223.1586579471,658.1968996113147,0.3086054260508937,-0.0189272714917548
7,1,780.4975233100233,1099645.8649475526,1048.6400073178368,-0.10097235550276662,-0.09963681121514194
130,2,233.39278482581926,94496.05421711641,307.4021050954538,0.26233198661815316,0.02500116702779294
25,2,316.0211235955056,211772.36943820224,460.18731994504395,0.3001184184451816,-0.005603073540578575
69X,2,479.8198757763975,378121.90683229815,614.9161787042996,-1.2001235876074792,0.08278826998387841
122,1,468.05663189269745,391569.40295769804,625.7550662661055,-0.044202953491677244,0.12322770666013516
37,1,508.1183734160848,456003.8503361779,675.2805715672397,0.25127549384351766,0.003262777297973711
33A,2,1087.9156804733727,1382056.6878698224,1175.6090710222604,-5.623558237811123,0.3104917973558329
7A,2,560.1338289962825,499381.67852717295,706.6694266254717,-0.08816685309425032,0.04081011864780466
17A,2,438.127591881514,341665.18935820076,584.5213335355697,0.058499532297024426,-0.006748098380187291
46A,1,453.75414372441054,366216.0031907384,605.1578332887532,0.38499503287439385,-0.003541276533814914
38,2,621.1320010183299,677794.5156568228,823.2827677395069,0.25541748558611044,0.022184746143694173
16C,1,174.66165413533835,51486.04887218045,226.90537426905615,-0.5270670179461077,0.06686338741895159
51D,2,557.75,565073.2137096775,751.7135183763011,-0.7273045192993997,0.05544154364519546
40E,1,394.3509803921569,186209.53921568627,431.5200333885859,-0.6866102201099122,-0.2595263819014178
40B,2,339.8290780141844,229411.6304964539,478.969341917052,0.04236912456332742,0.0612442886262983
66X,1,737.9172413793103,830729.1632183908,911.4434503678167,-1.147146579792754,nan
49,2,716.7620948802255,983674.8790511978,991.8038510971803,-0.543318010698348,0.03528482776218388
39X,2,403.6549019607843,284824.5882352941,533.6895991447595,0.006919257169167636,0.037732391034036715
120,1,198.662773956167,76125.87026075828,275.90917030928546,0.16207978799888068,-0.012508820419124418
32,2,280.67746325530754,134572.83206314643,366.84169891541285,0.36880376591387554,-0.0075190983574511434
27,2,696.8767209011264,791695.366949071,889.7726490228113,0.11964699241870547,-0.0039792258634603435
33D,1,348.05882352941177,234119.10294117648,483.8585567510163,-0.9285346270377743,-0.032753164795605104
65B,1,502.71152933733987,653995.6484263799,808.6999742960178,0.3280603497799818,0.02034520424540634
44,1,556.8664036076663,558933.1929725667,747.6183471347975,0.36528400428898533,-0.029528776329757533
151,1,406.2850629063582,283552.04458329815,532.4960512372821,0.3090260181152158,0.006762376966054025
43,2,332.87510361978445,200735.7350096712,448.0354171376089,0.3113297504873146,0.004275225730668655
25D,2,516.25,482148.2428571429,694.3689529761126,-0.06047352623121571,0.028395433284445673
59,1,142.9341252699784,37482.39848812095,193.60371506797318,0.11472272891306923,0.016957158229169034
67X,2,636.267229254571,676723.3052039382,822.6319378701135,-0.13237668076209075,0.10225527595101774
41B,1,1872.105882352941,7808890.2,2794.4391566108575,-18.94286460974225,nan
7D,1,399.44255319148937,249604.93191489362,499.6047757126563,-0.9709930970763068,-0.03184403704634177
39X,1,559.0250481695568,561125.4335260115,749.0830618336071,-0.42787452344106325,-0.06609163703697629
68X,2,902.5094339622641,1469829.716981132,1212.3653397310284,-5.505971730345834,nan
120,2,194.00769110029822,78062.74117093078,279.39710301098467,0.16261021295719658,-0.02418007225175977
32,1,339.26859106529207,194500.0141580756,441.0215574754545,0.36505993951797455,0.009567034090553086
27,1,638.752801643631,682058.5411841613,825.868355843812,0.3091275387203558,0.004544448287996274
33D,2,624.1262135922331,521202.8058252427,721.9437691574343,-2.689143210467957,0.1488055842344821
65B,2,1072.1266322502277,2128557.3297904646,1458.9576175442742,-0.43147922192457644,nan
151,2,428.3578235474946,316171.839532739,562.2915965339861,0.23048197131752435,0.01348051845931756
44,2,570.8650660710962,581799.168806998,762.7576081606777,0.3579534756918945,-0.009032231351086486
43,1,352.75082924240417,240480.52978638717,490.38814197162964,0.36309756080533895,0.008274670452665224
25D,1,387.994701986755,278351.0225165563,527.589824121501,-0.4115290331139212,-0.014060065981295642
67X,1,573.2956685499058,569987.8192090396,754.9753765580965,-0.22047152385743263,0.08318886734907999
59,2,166.3400316098442,56923.608037931815,238.58668872745565,0.05569313773331275,0.05291162321950397
41B,2,442.42937853107344,423168.7231638418,650.5141990486002,-0.3062717213721313,0.04358898828398038
7D,2,867.6237113402062,1277116.3659793814,1130.095733103785,-3.31975015665682,0.43397284126995633
41C,2,419.7945041816009,292131.757007628,540.4921433357084,0.2731377228027567,0.006268917600763306
27X,1,301.75,178335.89285714287,422.29834579020417,-0.001930267012566489,-0.012047319930809198
41D,1,364.1666666666667,219906.5,468.9418940551164,-0.2816572398364028,-0.05539511682856393
270,1,318.3349489354336,261710.61571750042,511.5765980940688,-0.28128051112418295,0.12319512169567648
7B,1,438.7881981032666,356923.6923076923,597.4309100705221,-0.6412708518153949,-0.0024204188509407273
56A,2,400.39389763779525,278639.2785433071,527.8629353755642,0.4798535627915613,-0.010940463974592831
26,1,314.71027154663517,183582.53317591498,428.4653231895377,0.08363513065885364,0.045450421055083484
33,1,1045.271375464684,2363916.24535316,1537.5032505179167,-0.3902436349896441,nan
4,2,479.6373248572911,394371.5256227296,627.9900680924259,0.39397137647043157,-0.024736523829665007
33B,1,215.33676360924684,93308.26920208799,305.46402276223625,-0.2329527912535807,0.05146765076149543
42,1,349.2574560285496,220904.06873990994,470.00432842678157,0.34464170539960326,0.010572045543183617
142,1,525.8148148148148,403643.3703703704,635.3293400830552,-0.3759994953072665,nan
25B,2,428.42256230870134,342543.15924792306,585.2718678083913,0.361847328159271,0.0015254972001183284
145,2,742.8500394321767,789295.9554810725,888.4232974664006,0.10916115650159808,0.03295834371121329
150,2,374.3711899791232,240607.62630480167,490.5177125291213,-0.1688446867773541,0.00969010733035523
27X,2,465.3638392857143,334469.81473214284,578.3336534667015,-0.30228875359322194,-0.017007018679727252
41C,1,511.6845365737432,455367.57461678976,674.8092875893083,0.11539435275055965,0.06372020708204437
41D,2,333.8888888888889,307920.77777777775,554.9060981623627,0.5119123403233722,nan
270,2,249.2162511542013,104816.04986149585,323.75306926961457,-0.30049799935872556,-0.0029580443222453063
7B,2,839.8967297762479,1127804.099827883,1061.9812144420837,-0.5024092581385327,0.023536000398404342
