Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
123,2,352.37618299088786,213722.71301558867,462.3015390582089,0.44780431278687327,357.07330155378475,-0.014574491893974256
1,1,269.18621745514173,127738.75311638371,357.40558629711387,0.5020366434659255,278.83103721288285,-0.01614981713455309
31,1,266.7983284033621,131829.4283000781,363.08322503260615,0.5190002401540657,271.36925276442565,-0.02477713073915817
41,1,316.41836700814537,210217.16174486445,458.494451160387,0.46453439166599597,308.5574113820547,-0.01485206693674025
25A,2,330.84327506215374,215878.01035729802,464.6267430500509,0.5732133644512312,328.44875587040815,-0.01566895892415249
53,2,135.69439170598187,43793.449177126255,209.26884425811275,0.27618086452700774,145.83479856238048,-0.015129063418767134
83A,2,404.56240786258155,290163.98468300083,538.6687151515306,0.45142435383640833,412.14919956336905,-0.017977332302513586
25,1,321.7012926506538,192076.11551751592,438.264891951792,0.618421742955789,313.0730072900799,-0.017884534118715947
7,2,496.1171778687117,394432.24681201467,628.0384118921506,0.13213970918767215,491.1998449313461,-0.02360800320262162
130,1,164.82757741845126,47382.58469935934,217.67541133384665,0.5110917649070732,165.07414719558528,-0.016919355379239696
69X,1,187.24853676992717,52114.09513130003,228.28511806795473,0.45067993111289695,201.44330997384233,-0.008624008354726176
37,2,356.45895863665663,221401.66183064092,470.53338014495944,0.5004507652386316,348.11494433799083,-0.01320824267869273
122,2,343.2103291391145,202508.05213298262,450.0089467254875,0.5203671241805938,333.3052268693355,-0.008764866786181998
33A,1,257.83203947577323,171116.71767549796,413.66256499168253,0.30957961815089996,256.52328873836456,-0.03612334569471934
16D,1,594.2015302581995,528827.4521990876,727.2052338914287,-0.23369892855391172,375.86409037970043,0.004404134001217518
17A,1,358.51575600940214,208232.95919728442,456.3254969835506,0.47521880538009786,348.7267826574994,-0.005901179045078463
7A,1,416.84556973509075,290119.5665422484,538.6274840204949,0.5125612134493643,413.2061243247908,-0.011800319090262334
46A,2,482.54581004175645,409971.5284967948,640.2901908484893,0.5020435062039508,505.73617214626734,-0.024982690069641978
38,1,426.8437062005106,325366.96154895454,570.409468319868,0.5639498481099923,413.8528823263701,-0.00280526432148596
