LINEID,DIRECTION,MAINROUTE,SUBROUTES,SUBROUTES SET OF MAIN,START_STOP,END_STOP
270,2,['270_44'],[[]],TRUE,3333,7026
66X,1,['66X_92'],"[['66X_94', '66X_93', '66X_95']]",FALSE,4952,4529
66X,2,['66X_102'],"[['66X_96', '66X_99', '66X_101', '66X_97', '66X_100', '66X_103', '66X_104', '66X_106', '66X_105']]",FALSE,3980,4952
26,1,['26_28'],[['26_24']],TRUE,7391,2210
26,2,['26_29'],"[['26_26', '26_27']]",TRUE,2210,7387
4,1,['4_10'],[['4_11']],TRUE,324,7481
4,2,['4_12'],"[['4_13', '4_14']]",TRUE,7330,332
83,1,['83_16'],"[['83_21', '83_19', '83_18', '83_28', '83_29']]",FALSE,324,2492
83,2,['83_22'],"[['83_25', '83_24', '83_27']]",TRUE,2492,332
151,1,['151_15'],[['151_16']],TRUE,7514,4619
151,2,['151_17'],"[['151_18', '151_19']]",TRUE,4606,2278
41A,2,['41A_22'],[[]],TRUE,4843,288
25,1,['25_272'],[[]],TRUE,7391,3890
25,2,['25_269'],[[]],TRUE,3890,7390
70D,1,['70D_70'],[[]],TRUE,7571,3333
70D,2,['70D_71'],[[]],TRUE,3333,7571
104,1,['104_15'],[[]],TRUE,1730,7571
104,2,['104_16'],[[]],TRUE,7571,7607
7A,1,['7A_85'],[['7A_86']],FALSE,4962,4982
7A,2,['7A_87'],"[['7A_88', '7A_89']]",TRUE,3222,4962
238,1,['238_11'],[['238_12']],TRUE,7073,1827
238,2,['238_15'],[[]],TRUE,1828,7072
51X,2,['51X_64'],[['51X_63']],FALSE,7433,4953
123,1,['123_34'],[['123_35']],TRUE,6057,1490
123,2,['123_36'],[['123_37']],TRUE,1491,6056
65,1,['65_74'],"[['65_72', '65_73']]",FALSE,7564,4027
65,2,['65_77'],"[['65_75', '65_76']]",FALSE,5111,7564
184,1,['184_29'],[[]],TRUE,4168,4656
184,2,['184_28'],[[]],TRUE,4657,4168
75,1,['75_17'],[['75_18']],FALSE,4342,2604
75,2,['75_19'],"[['75_21', '75_20']]",FALSE,2038,7181
46E,2,['46E_94'],[['46E_93']],TRUE,3085,4962
61,1,['61_106'],[['61_107']],FALSE,302,2955
61,2,['61_108'],[['61_109']],FALSE,7067,303
42D,1,['42D_50'],[[]],TRUE,7571,4465
42D,2,['42D_51'],[[]],TRUE,943,7692
45A,1,['45A_60'],"[['45A_68', '45A_67']]",FALSE,2037,6000
45A,2,['45A_64'],"[['45A_70', '45A_69']]",FALSE,4533,4983
42,1,['42_42'],[[]],TRUE,1184,3616
42,2,['42_44'],[[]],TRUE,3605,1184
130,1,['130_10'],[[]],TRUE,7591,1767
130,2,['130_11'],[[]],TRUE,1772,293
67,1,['67_4'],[[]],TRUE,7391,6089
67,2,['67_6'],[[]],TRUE,3917,7385
140,1,['140_19'],"[['140_16', '140_20']]",TRUE,7149,895
140,2,['140_21'],[['140_22']],TRUE,896,7149
16C,1,['16C_29'],"[['16C_26', '16C_27']]",FALSE,7347,270
16C,2,['16C_28'],[[]],TRUE,5171,7615
41,1,['41_3'],"[['41_4', '41_5', '41_6', '41_20', '41_21', '41_22']]",FALSE,288,4957
41,2,['41_7'],"[['41_10', '41_8', '41_9', '41_24', '41_25']]",FALSE,4843,288
114,1,['114_5'],[[]],TRUE,6200,7669
114,2,['114_6'],[[]],TRUE,3085,6199
38,1,['38_9'],[['38_10']],FALSE,7333,4745
38,2,['38_14'],"[['38_13', '38_15']]",FALSE,4745,7339
7B,1,['7B_91'],[[]],TRUE,4962,3544
7B,2,['7B_93'],[[]],TRUE,3544,4962
56A,1,['56A_31'],[[]],TRUE,395,4340
56A,2,['56A_30'],[[]],TRUE,4344,354
40E,1,['40E_90'],[[]],TRUE,7672,7072
40E,2,['40E_91'],[[]],TRUE,7073,7686
25X,1,['25X_10'],[['25X_7']],TRUE,4953,3890
25X,2,['25X_11'],"[['25X_9', '25X_5', '25X_12']]",FALSE,3890,4953
17A,1,['17A_15'],"[['17A_12', '17A_11', '17A_16']]",TRUE,4747,1012
17A,2,['17A_17'],"[['17A_13', '17A_14', '17A_18']]",TRUE,956,7025
32X,1,['32X_77'],[['32X_74']],FALSE,3640,4952
32X,2,['32X_76'],[[]],TRUE,4952,5082
79A,1,['79A_27'],[[]],TRUE,326,6029
79A,2,['79A_28'],[[]],TRUE,6030,326
185,1,['185_53'],"[['185_50', '185_54', '185_55', '185_52', '185_51']]",FALSE,4167,4108
185,2,['185_56'],"[['185_59', '185_58', '185_60', '185_63', '185_61', '185_62', '185_57']]",TRUE,4108,4167
220,1,['220_10'],[['220_14']],FALSE,4686,1827
220,2,['220_12'],[['220_15']],FALSE,1828,4686
59,1,['59_10'],[[]],TRUE,2037,7652
59,2,['59_11'],[[]],TRUE,3099,4983
84A,1,['84A_1'],[['84A_2']],FALSE,7188,7640
84A,2,['84A_3'],[['84A_4']],FALSE,4168,7188
66,1,['66_17'],"[['66_11', '66_16']]",TRUE,7391,5114
66,2,['66_18'],"[['66_13', '66_14']]",TRUE,3980,7387
14,1,['14_15'],[[]],TRUE,248,6044
14,2,['14_16'],"[['14_12', '14_13']]",TRUE,6041,248
68X,2,['68X_88'],[[]],TRUE,6185,7665
7,1,['7_72'],"[['7_66', '7_67', '7_73']]",FALSE,4962,7639
7,2,['7_70'],"[['7_71', '7_74']]",TRUE,7639,4962
38D,1,['38D_68'],[[]],TRUE,7333,4745
38D,2,['38D_61'],[[]],TRUE,4745,7339
32,1,['32_57'],[[]],TRUE,621,4387
32,2,['32_58'],[[]],TRUE,3624,7569
84X,1,['84X_57'],"[['84X_60', '84X_56', '84X_58', '84X_64', '84X_65']]",TRUE,342,4307
84X,2,['84X_62'],"[['84X_52', '84X_53', '84X_59', '84X_61', '84X_63']]",TRUE,4307,303
15D,1,['15D_62'],[[]],TRUE,395,2955
15D,2,['15D_63'],[['15D_65']],FALSE,7067,354
68A,1,['68A_86'],[[]],TRUE,4495,1375
68A,2,['68A_87'],[[]],TRUE,1375,7665
145,1,['145_102'],"[['145_94', '145_95', '145_99', '145_104', '145_107']]",FALSE,4320,7574
145,2,['145_105'],"[['145_106', '145_91', '145_86', '145_93', '145_87', '145_108', '145_88', '145_89']]",FALSE,7574,4320
76,1,['76_36'],[[]],TRUE,2243,4341
76,2,['76_37'],[[]],TRUE,4341,2199
27B,1,['27B_23'],"[['27B_40', '27B_26', '27B_27', '27B_25']]",TRUE,300,332
27B,2,['27B_34'],"[['27B_35', '27B_38', '27B_37', '27B_39', '27B_36']]",TRUE,324,303
69X,1,['69X_59'],[[]],TRUE,4495,5126
69X,2,['69X_60'],[[]],TRUE,4564,7665
27,1,['27_19'],"[['27_20', '27_12']]",TRUE,4595,2355
27,2,['27_17'],"[['27_18', '27_9', '27_21']]",TRUE,2353,4595
63,1,['63_26'],"[['63_25', '63_27']]",FALSE,2039,3283
63,2,['63_30'],"[['63_28', '63_31', '63_29']]",FALSE,3283,2039
49,1,['49_27'],[[]],TRUE,342,7181
49,2,['49_28'],[['49_29']],FALSE,4342,342
25D,1,['25D_277'],[[]],TRUE,7391,6289
25D,2,['25D_275'],[[]],TRUE,6290,7390
33A,1,['33A_22'],[['33A_23']],TRUE,3677,7174
33A,2,['33A_25'],"[['33A_26', '33A_27']]",FALSE,6048,3692
31D,1,['31D_50'],[[]],TRUE,7571,913
31D,2,['31D_51'],[[]],TRUE,928,7571
40,1,['40_27'],"[['40_30', '40_28', '40_29']]",FALSE,7132,4715
40,2,['40_31'],"[['40_32', '40_33']]",TRUE,4795,6348
83A,1,['83A_17'],[['83A_20']],FALSE,324,2492
83A,2,['83A_23'],[['83A_26']],FALSE,2492,332
9,1,['9_5'],[['9_6']],TRUE,7132,4392
9,2,['9_7'],[['9_8']],FALSE,4392,7131
11,1,['11_40'],[['11_41']],TRUE,6122,449
11,2,['11_42'],[['11_43']],TRUE,449,6122
84,1,['84_27'],"[['84_28', '84_29']]",TRUE,7188,7640
84,2,['84_30'],"[['84_31', '84_32']]",TRUE,4260,7188
40B,1,['40B_63'],[['40B_64']],FALSE,6004,4316
40B,2,['40B_65'],[[]],TRUE,4316,6071
31A,1,['31A_25'],[[]],TRUE,621,686
31A,2,['31A_26'],[[]],TRUE,686,7569
46A,1,['46A_74'],"[['46A_73', '46A_72', '46A_69', '46A_68', '46A_70', '46A_71']]",TRUE,807,2039
46A,2,['46A_67'],"[['46A_66', '46A_77', '46A_65', '46A_63', '46A_64', '46A_62']]",TRUE,2039,7513
25A,1,['25A_273'],[[]],TRUE,7391,4616
25A,2,['25A_270'],[[]],TRUE,4620,7390
33D,1,['33D_61'],[[]],TRUE,407,3732
33D,2,['33D_62'],[['33D_76']],TRUE,3732,748
16D,1,['16D_30'],[[]],TRUE,7347,2975
29A,1,['29A_14'],[[]],TRUE,289,938
29A,2,['29A_15'],[[]],TRUE,950,291
16,1,['16_20'],"[['16_21', '16_23', '16_22']]",FALSE,7347,7580
16,2,['16_24'],[[]],TRUE,5171,7347
13,1,['13_60'],"[['13_61', '13_65', '13_28', '13_66', '13_63', '13_62', '13_64']]",FALSE,6235,7229
13,2,['13_67'],"[['13_68', '13_72', '13_76', '13_73', '13_69', '13_71', '13_70', '13_74', '13_75']]",TRUE,7229,6234
38A,1,['38A_20'],[[]],TRUE,7333,4745
38A,2,['38A_32'],"[['38A_23', '38A_33']]",FALSE,4745,7339
15A,1,['15A_83'],[[]],TRUE,395,1104
15A,2,['15A_84'],[['15A_85']],FALSE,1105,354
53,1,['53_20'],"[['53_23', '53_22']]",FALSE,1184,2270
53,2,['53_21'],[[]],TRUE,2270,4380
66B,1,['66B_58'],[['66B_55']],TRUE,7391,4003
66B,2,['66B_59'],[['66B_57']],TRUE,4003,7387
41B,1,[‘41B_52’],"[['41B_51', '41B_58']]",FALSE,288,3874
41B,2,[‘41B_53'],[[]],TRUE,7144,288
118,2,[‘118_4’],[‘118_3’],FALSE,3283,303
33X,1,[‘33X_46’],[‘33X_48’],TRUE,407,7174
33X,2,[‘33X_49’],[‘33X_47’],FALSE,3815,2810
