LINEID,DIRECTION,MAINROUTE,SUBROUTES,SUBROUTES SET OF MAIN,ALL SET OF LONGEST,START_STOP,END_STOP
76A,2,['76A_29'],[[]],True,True,4341,7026
43,1,['43_84'],[['43_85']],False,False,1184,7189
43,2,['43_88'],[['43_89']],False,False,5044,1184
67X,1,['67X_43'],"[['67X_39', '67X_38', '67X_40', '67X_45', '67X_44']]",False,False,4952,6089
67X,2,['67X_46'],"[['67X_41', '67X_42', '67X_47']]",False,False,3921,4952
150,1,['150_8'],[[]],True,True,4495,4862
150,2,['150_9'],[['150_10']],True,False,4863,4494
38B,1,['38B_40'],[[]],True,True,7333,4745
38B,2,['38B_44'],[['38B_45']],True,False,4745,7339
14C,1,['14C_17'],[[]],True,True,248,336
14C,2,['14C_18'],[['14C_10']],True,False,6041,297
37,1,['37_14'],[[]],True,True,7340,2959
37,2,['37_15'],[['37_13']],True,False,4747,7340
79,1,['79_10'],[[]],True,True,326,2908
79,2,['79_11'],[[]],True,True,2670,326
69,1,['69_45'],[['69_43']],True,True,4495,5126
69,2,['69_47'],"[['69_44', '69_30', '69_46']]",True,False,4564,7665
44B,1,['44B_60'],[[]],True,True,2825,3514
44B,2,['44B_61'],[[]],True,True,3514,2825
54A,1,['54A_11'],[[]],True,True,342,5024
54A,2,['54A_12'],[[]],True,True,5161,342
239,1,['239_26'],[[]],True,True,7026,4795
239,2,['239_28'],[[]],True,True,4795,7026
1,1,['1_37'],"[['1_39', '1_38']]",True,False,226,380
1,2,['1_40'],[['1_41']],True,False,381,226
51D,1,['51D_50'],[[]],True,True,7392,1966
51D,2,['51D_51'],[['51D_47']],False,False,4664,755
15,1,['15_16'],"[['15_10', '15_20', '15_19']]",True,False,6318,6282
15,2,['15_17'],[['15_18']],True,False,6282,6317
31,1,['31_15'],"[['31_17', '31_16']]",False,False,621,567
31,2,['31_18'],[[]],True,True,567,7569
102,1,['102_8'],[[]],True,True,4381,7348
102,2,['102_9'],[['102_10']],True,False,7348,4381
33B,1,['33B_56'],[['33B_57']],True,False,4330,3732
33B,2,['33B_58'],"[['33B_60', '33B_59']]",True,False,3732,4330
41C,1,['41C_78'],[['41C_83']],True,True,288,4957
41C,2,['41C_79'],"[['41C_80', '41C_84']]",True,False,4843,288
27A,1,['27A_4'],[[]],True,True,300,7199
27A,2,['27A_5'],"[['27A_6', '27A_7']]",False,False,1791,7568
39A,1,['39A_40'],"[['39A_41', '39A_44']]",True,False,767,7162
39A,2,['39A_43'],"[['39A_42', '39A_45']]",True,False,7158,767
40D,1,['40D_102'],"[['40D_101', '40D_105']]",False,False,6004,7072
40D,2,['40D_104'],"[['40D_103', '40D_106']]",False,True,7073,6071
7D,1,['7D_120'],[[]],True,True,4962,3057
7D,2,['7D_123'],"[['7D_122', '7D_121']]",False,False,3057,4
120,1,['120_7'],"[['120_8', '120_12']]",False,False,6004,276
120,2,['120_9'],"[['120_10', '120_11', '120_13']]",True,True,284,6071
39,1,['39_20'],[['39_22']],False,False,7333,7162
39,2,['39_21'],[['39_23']],True,False,7158,7339
70,1,['70_60'],[[]],True,True,7333,3333
70,2,['70_67'],[['70_69']],True,False,3333,7339
111,1,['111_7'],[[]],True,True,7639,3057
111,2,['111_8'],"[['111_9', '111_10']]",False,False,3057,7639
41D,1,['41D_26'],[[]],True,True,288,7189
41D,2,['41D_27'],[[]],True,True,5044,48
47,1,['47_139'],"[['47_137', '47_138']]",False,False,7662,7567
47,2,['47_136'],[['47_135']],False,False,5013,7663
27X,1,['27X_43'],[[]],True,True,4952,4594
27X,2,['27X_42'],[[]],True,True,4595,4952
236,1,['236_9'],[[]],True,True,4747,4745
236,2,['236_10'],[[]],True,True,4745,7026
39X,1,['39X_1'],[[]],True,True,7333,7162
39X,2,['39X_3'],[['39X_2']],False,False,7158,7339
17,1,['17_10'],"[['17_11', '17_13', '17_12', '17_19', '17_14']]",True,False,1380,2083
17,2,['17_15'],"[['17_16', '17_17', '17_18']]",True,False,3085,2072
33,1,['33_44'],"[['33_45', '33_69']]",False,False,292,7690
33,2,['33_70'],"[['33_72', '33_71', '33_73']]",False,False,6048,7205
142,1,['142_13'],"[['142_8', '142_10']]",True,False,3605,7692
