Route,MAE,HS,A,L,MX
150_1,213.60762270952702,30,0.6,0.03,300
15A_1,245.22674878264317,30,0.5,0.01,300
15_1,598.2735205689883,20,0.4,0.01,300
38B_2,502.50382681671977,55,0.8,0.005,700
26_2,216.7412941477861,75,0.6,0.025,300
238_2,157.7562069682649,250,0.6,0.005,700
69_1,332.9414206560156,150,0.9,0.02,300
42_2,295.324415202378,200,0.5,0.005,300
49_1,301.5884306377611,250,0.8,0.005,700
104_1,229.57527035702182,125,0.6,0.035,300
18_2,350.3097730156894,200,0.9,0.015,300
76_1,318.22947307838785,150,0.6,0.03,300
67_2,322.81369909746985,100,0.4,0.035,300
25B_1,254.01862210566617,250,0.5,0.02,300
77X_2,226.8259297823721,10,0.9,0.01,8000
69X_1,180.03421179667762,50,0.5,0.01,2000
16D_1,671.2105813883603,20,0.99,0.01,8000
66X_2,368.5419046537149,10,0.9,0.01,2000
69X_2,210.43658653357605,10,0.8,0.01,5000
66X_1,315.91544656490896,100,0.5,0.03,2000
39X_2,268.26182643185945,20,0.5,0.03,2000
33D_1,459.2752712630426,10,0.3,0.01,8000
25D_2,527.3591904960756,100,0.9,0.02,2000
67X_2,441.5483455772635,100,0.8,0.01,2000
41B_1,514.1020065395674,10,0.5,0.01,4000
7D_1,236.2588168579883,100,0.9,0.03,2000
39X_1,367.934071802527,100,0.9,0.01,2000
68X_2,317.5213637541287,10,0.5,0.01,8000
33D_2,258.5090452276176,10,0.5,0.01,4000
25D_1,235.68302996684602,100,0.9,0.02,2000
67X_1,446.2853188218635,50,0.8,0.03,2000
41B_2,313.71468956941015,50,0.8,0.03,2000
7D_2,377.0833067840386,30,0.5,0.01,5000
27X_1,220.0546500407566,10,0.3,0.01,10000
41D_1,3.4895227237466315,50,0.99,0.02,2000
33_1,745.3107467999158,50,0.99,0.01,2000
27X_2,393.6776355758954,30,0.9,0.02,2000
41D_2,126.12615101083792,10,0.99,0.01,8000
33E_1,113.87983305758736,10,0.99,0.01,4000
33_2,458.6528957301782,10,0.5,0.01,6000
15D_1,306.9810870577656,20,0.3,0.03,2000
84X_2,433.7958087228844,30,0.5,0.01,2000
41X_2,317.82815925510084,50,0.3,0.03,2000
15D_2,520.741729863895,10,0.5,0.01,5000
84X_1,555.0496835650142,10,0.3,0.01,4000
41X_1,697.4893804836187,10,0.8,0.01,4000
25X_1,502.1923651614529,20,0.99,0.03,2000
33X_2,121.36891763891701,20,0.9,0.01,2000
25X_2,262.14985509930665,20,0.3,0.01,6000
33X_1,248.79245214292888,100,0.8,0.02,2000
51X_2,354.2524339688322,20,0.99,0.01,5000
116_1,235.77326442139267,10,0.9,0.01,6000
70D_2,500.5983623567958,10,0.3,0.01,2000
32X_2,331.6350548044766,100,0.5,0.01,2000
38D_1,359.11157752572717,100,0.3,0.02,2000
42D_1,253.17625176968568,10,0.5,0.01,5000
116_2,308.55121113090627,10,0.9,0.01,5000
70D_1,307.25919351492735,20,0.99,0.01,4000
32X_1,261.89916066824605,10,0.3,0.02,2000
38D_2,222.6275850931989,20,0.99,0.01,8000
42D_2,162.8158088426953,10,0.3,0.01,6000
118_2,391.10909105208816,10,0.8,0.01,4000
77X_2,145.65028382523502,5,0.85,0.025,9000
53_2,131.88537584667006,120,0.85,0.015,3000
16C_2,198.20308668155744,40,0.85,0.025,3000
66X_2,379.1539326087606,5,0.85,0.005,9000
53_1,546.2300195683812,80,0.95,0.025,3000
69X_2,182.92650979630545,120,0.4,0.035,3000
16C_1,155.20616771010813,5,0.95,0.035,3000
33D_1,497.64468879686586,15,0.4,0.005,9000
41B_1,437.9448094443103,5,0.85,0.015,9000
7D_1,225.6619234192244,80,0.85,0.005,3000
39X_1,359.9813606130364,80,0.95,0.025,3000
68X_2,317.2553585116098,40,0.85,0.005,9000
33D_2,213.05753328125562,40,0.4,0.005,3000
67X_1,436.9920430964909,10,0.4,0.035,3000
41B_2,306.20003358965204,80,0.95,0.005,3000
7D_2,399.99504568176405,10,0.95,0.005,9000
27X_2,388.131519187969,40,0.85,0.025,3000
33E_1,65.94808433695471,10,0.4,0.005,3000
33_2,407.78275238240445,80,0.4,0.005,3000
84X_2,428.85227044833135,80,0.95,0.015,3000
41X_2,299.600924567408,5,0.4,0.035,3000
39_2,399.58964985970476,100,0.5,0.01,500
9_2,371.2531721538581,100,0.6,0.02,500
40D_1,249.42352281710444,10,0.6,0.01,500
47_1,334.2794957247498,100,0.6,0.03,500
40_2,430.75124776128325,100,0.5,0.01,200
140_2,449.0435212589798,100,0.8,0.03,200
84A_1,377.311711098919,100,0.6,0.03,200
123_1,321.44465857116836,100,0.6,0.01,500
1_2,300.71642877458737,50,0.6,0.01,500
31_2,208.5553968308156,100,0.5,0.01,200
39_1,375.00479570665647,100,0.8,0.03,200
9_1,360.70891118898714,50,0.8,0.02,500
40D_2,230.6034034684779,100,0.8,0.02,500
41A_2,660.296326619173,10,0.6,0.02,500
47_2,315.89788696360336,100,0.6,0.01,500
140_1,291.19167890181257,100,0.6,0.02,200
40_1,441.977776300644,100,0.8,0.01,500
84A_2,214.38229206480847,50,0.8,0.03,200
123_2,306.63162075819463,50,0.8,0.01,200
1_1,247.62671844506855,100,0.6,0.03,200
31_1,246.83126294513443,100,0.6,0.01,500
41_1,283.66637415851363,100,0.8,0.01,200
25A_2,267.372264686635,100,0.8,0.03,200
53_2,134.2738397520026,10,0.6,0.03,200
83A_2,404.6903002902651,50,0.6,0.03,200
25_1,290.77598734522775,100,0.8,0.01,500
7_2,482.89526737683644,100,0.6,0.01,500
130_1,151.42589290139563,100,0.6,0.02,200
37_2,308.2821565707381,100,0.5,0.02,200
122_2,340.7316766575399,100,0.5,0.01,200
33A_1,267.2889057680258,100,0.5,0.01,500
17A_1,348.5790021344928,50,0.6,0.01,500
7A_1,390.02790930332003,50,0.6,0.01,500
46A_2,466.02311765271537,100,0.5,0.02,200
38_1,407.2638834030698,50,0.6,0.01,500
16C_2,197.33870623694543,100,0.8,0.02,500
51D_1,179.69472580467644,100,0.6,0.03,1000
40E_2,215.5646920530734,100,0.6,0.03,500
40B_1,231.60504900052726,100,0.8,0.01,200
49_1,304.5085348939411,50,0.5,0.01,500
41_2,324.3776859313137,50,0.8,0.01,500
25A_1,257.6680735192288,100,0.8,0.01,500
53_1,553.0377506575978,50,0.6,0.01,200
83A_1,388.2487141441383,50,0.5,0.01,500
7_1,530.5475581707143,100,0.6,0.01,200
130_2,178.9228906119231,100,0.6,0.02,200
25_2,235.9325931439652,100,0.6,0.02,500
122_1,304.054735524469,100,0.6,0.02,200
37_1,359.3614603686153,50,0.8,0.02,500
33A_2,220.36822389134727,100,0.8,0.01,500
7A_2,417.04289385091636,50,0.8,0.03,200
17A_2,348.5974853402507,50,0.8,0.01,500
46A_1,371.02313830652633,100,0.5,0.01,500
38_2,468.8821234141069,50,0.5,0.02,200
16C_1,154.50042559992133,10,0.5,0.02,1000
51D_2,427.8844797605016,50,0.6,0.03,500
40E_1,230.64594357053718,50,0.8,0.01,1000
40B_2,247.58554867964543,100,0.5,0.02,500
49_2,459.64895019640153,50,0.8,0.01,500
120_1,156.89417408761645,100,0.6,0.01,500
32_2,199.92970726153843,100,0.8,0.03,200
27_2,502.3999407570762,50,0.5,0.02,200
65B_1,420.244921779836,100,0.8,0.02,200
44_1,381.94583957139196,100,0.5,0.01,500
151_1,311.882001811562,100,0.5,0.01,200
43_2,266.5564196192533,50,0.8,0.03,200
59_1,108.42799829052989,100,0.5,0.03,200
120_2,145.46372328603212,100,0.8,0.01,200
32_1,242.91993934056114,100,0.5,0.01,500
27_1,459.1237454767941,50,0.6,0.01,500
65B_2,746.0823494434611,100,0.6,0.02,500
151_2,288.84241458825284,100,0.8,0.01,500
44_2,388.4109710989293,100,0.6,0.03,500
43_1,273.3685437417022,100,0.8,0.03,200
59_2,121.20520495993635,100,0.8,0.01,200
41C_2,318.7454646913799,50,0.5,0.03,200
39_2,402.21362612006277,75,0.6,0.02,300
84A_1,363.38630404783027,75,0.5,0.03,300
39_1,372.6598857054726,150,0.8,0.01,700
47_2,315.5938147142525,150,0.8,0.01,300
40_1,436.0521510272441,150,0.6,0.01,300
84A_2,214.77166570143973,75,0.8,0.02,300
25A_2,264.7484248056644,150,0.5,0.01,300
25_1,289.01373083026783,75,0.6,0.01,300
7_2,461.42977611321135,150,0.8,0.03,300
37_2,304.0792417904237,150,0.6,0.01,700
33A_1,261.58778476051435,30,0.8,0.01,700
38_1,405.4233771411592,150,0.5,0.01,700
51D_1,187.43945995702342,150,0.5,0.03,700
40B_1,234.46041642677875,30,0.8,0.03,300
49_1,307.00225645682593,75,0.6,0.01,300
83A_1,380.98125816943184,150,0.8,0.02,300
25_2,237.45301030556863,150,0.6,0.03,300
33A_2,221.07624766722245,75,0.8,0.02,300
